"Data","id_marca","Nome_Marca","Nome_Veiculo","Vendas","Valor_Veiculo"
"2022-01-01","1","Fiat","Mobi","40","29000"
"2022-01-01","1","Fiat","argo","2","49000"
"2022-01-01","1","Fiat","Uno","3","19000"
"2022-01-01","2","Volkswagen","Up","35","35000"
"2022-01-01","3","Kia","Picanto","42","32000"
"2022-01-01","2","Volkswagen","Gol","2","40000"
"2022-01-01","7","Mitsubishi","Lancer","4","60000"
"2022-01-01","2","Volkswagen","Kombi","1","35000"
"2022-01-01","9","Chevrolet ","onix","2","45200"
"2022-01-01","10","JaC Motors","E-J7","1","270000"
"2022-01-01","11","Renault","Captur","5","70000"
"2022-02-01","1","Fiat","Palio","1","8000"
"2022-02-01","2","Volkswagen","Up","40","35000"
"2022-02-01","1","Fiat","Mobi","52","29000"
"2022-02-01","3","Kia","Picanto","30","36000"
"2022-02-01","5","Toyota","Yaris","15","45000"
"2022-02-01","6","Nissan","March","2","28000"
"2022-02-01","7","Mitsubishi","L200","7","240000"
"2022-02-01","2","Volkswagen","Gol","6","30000"
"2022-02-01","3","Kia","Cerato","4","41000"
"2022-02-01","10","JaC Motors","E-JS1","6","145000"
"2022-02-01","11","Renault","Duster","3","60000"
"2022-03-01","1","Fiat","Uno","1","10000"
"2022-03-01","2","Volkswagen","Up","30","35000"
"2022-03-01","3","Kia","Picanto","25","145000"
"2022-03-01","4","Peugeot ","208","20","79000"
"2022-03-01","1","Fiat","Mobi","30","30000"
"2022-03-01","2","Volkswagen","Gol","1","28000"
"2022-03-01","7","Mitsubishi","Lancer","1","75000"
"2022-03-01","8","Subaru","Forester","2","300000"
"2022-03-01","9","Chevrolet ","onix","3","45000"
"2022-03-01","10","JaC Motors","J5","5","25000"
"2022-03-01","11","Renault","Sandero","1","30000"
"2022-04-01","1","Fiat","Mobi","40","28000"
"2022-04-01","2","Volkswagen","Up","45","30000"
"2022-04-01","3","Kia","Picanto","30","26000"
"2022-04-01","4","Peugeot ","208","25","85000"
"2022-04-01","1","Fiat","Palio","1","12000"
"2022-04-01","6","Nissan","March","5","30000"
"2022-04-01","7","Mitsubishi","Eclipse","1","124000"
"2022-04-01","8","Subaru","XV","4","320000"
"2022-04-01","2","Volkswagen","Polo","1","99000"
"2022-04-01","10","JaC Motors","J2","1","14000"
"2022-04-01","11","Renault","Clio","5","25000"
"2022-05-01","1","Fiat","Mobi","50","25000"
"2022-05-01","2","Volkswagen","Up","45","29000"
"2022-05-01","3","Kia","Picanto","35","19000"
"2022-05-01","1","Fiat","argo","2","28000"
"2022-05-01","5","Toyota","Yaris","3","35000"
"2022-05-01","6","Nissan","March","7","22000"
"2022-05-01","2","Volkswagen","T-Cross","2","90000"
"2022-05-01","8","Subaru","Forester","4","320000"
"2022-05-01","9","Chevrolet ","onix","3","40000"
"2022-05-01","10","JaC Motors","J2","2","12000"
"2022-05-01","11","Renault","Clio","5","18000"
"2022-06-01","1","Fiat","Mobi","45","26000"
"2022-06-01","2","Volkswagen","Up","35","30000"
"2022-06-01","3","Kia","Picanto","30","20000"
"2022-06-01","4","Peugeot ","208","20","78000"
"2022-06-01","1","Fiat","Uno","2","20000"
"2022-06-01","6","Nissan","March","3","23000"
"2022-06-01","7","Mitsubishi","Pajero","8","160000"
"2022-06-01","1","Fiat","Cronos","4","80000"
"2022-06-01","9","Chevrolet ","onix","8","42000"
"2022-06-01","10","JaC Motors","J2","1","13000"
"2022-06-01","11","Renault","Sandero RS","3","80000"
"2022-07-01","1","Fiat","Mobi","40","32000"
"2022-07-01","2","Volkswagen","Up","35","35000"
"2022-07-01","3","Kia","Picanto","38","18000"
"2022-07-01","4","Peugeot ","2008","6","80000"
"2022-07-01","5","Toyota","Corolla","20","140000"
"2022-07-01","2","Volkswagen","Jetta","1","120000"
"2022-07-01","7","Mitsubishi","Lancer","3","75000"
"2022-07-01","8","Subaru","WRX","15","250000"
"2022-07-01","9","Chevrolet ","onix","3","55000"
"2022-07-01","10","JaC Motors","J2","4","10000"
"2022-07-01","11","Renault","Duster","8","35000"
"2022-08-01","1","Fiat","Mobi","25","35000"
